ID,Temperature,Treatment,Clone,Experiment,Growth0,Growth1,Growth2,maxInduction
LD33_20_C3_A,20,Control,LD33,Acclim,0.09288791,0.159137399,0.108606356,10
D87A_20_C1_A,20,Control,D87_A,Acclim,0.094218968,0.157762371,0.123476397,0
D87A_20_C2_A,20,Control,D87_A,Acclim,0.100537079,0.157853704,0.118653648,0
D87A_20_C3_A,20,Control,D87_A,Acclim,0.099531132,0.162830692,0.124862191,0
D1045_20_C1_A,20,Control,D10_45,Acclim,0.091834569,0.172856737,0.131755741,0
D1045_20_C2_A,20,Control,D10_45,Acclim,0.104055477,0.169315845,0.127074361,10
D1045_20_C3_A,20,Control,D10_45,Acclim,0.096756373,0.163502634,0.126610817,10
LD33_20_P2_A,20,Predator,LD33,Acclim,0.10044588,0.120618934,0.114887181,50
LD33_20_P1_A,20,Predator,LD33,Acclim,0.078175441,0.140991294,0.112644629,60
LD33_20_P3_A,20,Predator,LD33,Acclim,0.076762997,0.124420549,0.087866898,50
D87A_20_P1_A,20,Predator,D87_A,Acclim,0.104856975,0.157537233,0.122417061,0
D87A_20_P2_A,20,Predator,D87_A,Acclim,0.094221475,0.134419428,0.111772995,10
D87A_20_P3_A,20,Predator,D87_A,Acclim,0.089973639,0.133137537,0.107957435,10
Cyril_20_C1,20,Control,Cyril,Acute,0.084970854,0.162241524,0.11804601,0
Cyril_20_C2,20,Control,Cyril,Acute,0.08705981,0.160920972,0.114342492,0
Cyril_20_C3,20,Control,Cyril,Acute,0.102800991,0.171297706,0.125056223,0
Cyril_20_P3,20,Predator,Cyril,Acute,0.120425556,0.214746539,0.165304423,10
D1081_20_C1,20,Control,D10_81,Acute,0.1128363,0.188787354,0.145505447,0
D10A13_20_C1,20,Control,D10_A13,Acute,0.083765303,0.153017877,0.120332064,60
Cyril_20_P1,20,Predator,Cyril,Acute,0.071855476,0.148333123,0.126606154,10
Cyril_20_P2,20,Predator,Cyril,Acute,0.0910643,0.173720468,0.131197381,10
D10A13_20_P1,20,Predator,D10_A13,Acute,0.119217094,0.144103109,0.099429104,60
Cyril_20_C1_A,20,Control,Cyril,Acclim,0.060226084,0.12961682,0.128965211,NA
Cyril_20_C2_A,20,Control,Cyril,Acclim,0.059606888,0.127913488,0.1222163,NA
Cyril_20_C3_A,20,Control,Cyril,Acclim,0.064252564,0.129994972,0.126655875,NA
D10A13_20_C2,20,Control,D10_A13,Acute,0.037497924,0.066216785,0.053466392,60
D86A_20_C1,20,Control,D86_A,Acute,0.077071895,0.133460543,0.111887653,10
D86A_20_C2,20,Control,D86_A,Acute,0.04912427,0.113350311,0.103319864,0
D86A_20_C3,20,Control,D86_A,Acute,0.104856975,0.133124106,NA,0
D10A14_20_C1,20,Control,D10_A14,Acute,0.089241215,0.147393104,0.146797392,10
D10A14_20_C2,20,Control,D10_A14,Acute,0.088996117,0.158604812,0.144003186,10
Cyril_20_P1_A,20,Predator,Cyril,Acclim,0.084670283,0.179825207,0.137350541,0
Cyril_20_P2_A,20,Predator,Cyril,Acclim,0.087750351,0.172610408,0.141117895,0
Cyril_20_P3_A,20,Predator,Cyril,Acclim,0.079061514,0.172455859,0.13684895,0
D1081_20_C2,20,Control,D10_81,Acute,0.068080897,0.120780208,NA,10
D10A14_20_C3,20,Control,D10_A14,Acute,0.082934034,0.147136462,0.113744253,0
D10A13_20_P3,20,Predator,D10_A13,Acute,0.079836374,0.11250697,0.090940276,10
D1081_20_C4,20,Control,D10_81,Acute,0.06493864,0.114179415,NA,10
D10A13_20_C2_A,20,Control,D10_A13,Acclim,0.129943525,0.212441469,0.162918453,20
D10A13_20_P2,20,Predator,D10_A13,Acute,0.061606629,0.088220743,0.086261555,10
D10A13_20_C1_A,20,Control,D10_A13,Acclim,0.102440825,0.167454826,NA,20
D10A13_20_C3_A,20,Control,D10_A13,Acclim,0.104590237,0.170344432,0.130699206,20
D1081_20_C3,20,Control,D10_81,Acute,0.056122315,0.096127456,0.081430681,10
D1081_20_P1,20,Predator,D10_81,Acute,0.10289655,NA,0.141913967,0
D1081_20_P2,20,Predator,D10_81,Acute,0.107748897,0.183367339,0.136099031,10
C14_20_P1_A,20,Predator,C14,Acclim,0.092518095,0.148667036,0.115903251,60
C14_20_P2_A,20,Predator,C14,Acclim,0.099163812,0.148695899,0.119387178,70
D86A_20_P1,20,Predator,D86_A,Acute,0.113607486,0.138515113,0.138685282,0
D86A_20_P2,20,Predator,D86_A,Acute,0.114379341,0.143954223,0.141515139,0
D86A_20_P3,20,Predator,D86_A,Acute,0.11172477,0.137314294,0.13646243,0
D10A14_20_P1,20,Predator,D10_A14,Acute,0.102618211,0.163500804,0.134495861,30
D10A14_20_P2,20,Predator,D10_A14,Acute,0.088269242,0.157484716,0.125051561,20
AD101_20_C1_A,20,Control,AD10_1,Acclim,0.098233143,0.154382084,0.118127724,10
AD101_20_C3_A,20,Control,AD10_1,Acclim,0.078303058,0.134240516,0.098691102,20
C14_20_C1_A,20,Control,C14,Acclim,0.112242425,0.171688249,0.129432551,30
C14_20_C2_A,20,Control,C14,Acclim,0.107501134,0.173750624,0.131479529,30
C14_20_C3_A,20,Control,C14,Acclim,0.110017888,0.175278255,0.128134457,30
D86A_20_C1_A,20,Control,D86_A,Acclim,0.105919678,0.168005346,0.126658024,10
D86A_20_C2_A,20,Control,D86_A,Acclim,0.110791284,0.179539572,0.130400958,10
D86A_20_C3_A,20,Control,D86_A,Acclim,0.106887905,0.17766256,0.129715548,10
AD101_20_P1_A,20,Predator,AD10_1,Acclim,0.102059902,0.144112911,0.149585536,80
AD101_20_P2_A,20,Predator,AD10_1,Acclim,0.103174347,0.141442839,0.146382541,50
AD101_20_P3_A,20,Predator,AD10_1,Acclim,0.105923006,0.144940423,0.149518347,40
D10A14_20_P3,20,Predator,D10_A14,Acute,0.0658038,0.112166203,0.101185988,10
D1081_20_C3_A,20,Control,D10_81,Acclim,0.125294609,0.210836753,0.151316347,0
D10A14_20_C1_A,20,Control,D10_A14,Acclim,0.132743674,0.194592924,0.138629436,0
D10A14_20_C2_A,20,Control,D10_A14,Acclim,0.131400347,0.194891193,0.14144859,0
D10A14_20_C3_A,20,Control,D10_A14,Acclim,0.136619369,0.203993832,0.144159742,0
D1081_20_C1_A,20,Control,D10_81,Acclim,0.123497418,0.194017426,0.149606387,0
D1081_20_C2_A,20,Control,D10_81,Acclim,0.12357684,0.205141897,0.1492964,0
D10A13_20_P1_A,20,Predator,D10_A13,Acclim,0.138028534,0.21992316,NA,30
D10A13_20_P2_A,20,Predator,D10_A13,Acclim,0.141607159,0.203456409,NA,50
D10A13_20_P3_A,20,Predator,D10_A13,Acclim,0.140817424,0.211581799,NA,40
