Clone,Temperature,Treatment,Experiment,Stage,Survival,Mean.Rep
D10_81,20,Control,Acute,B1,1,7
D10_81,20,Control,Acute,B2,0.33,2
D10_81,20,Predator,Acute,B0,1,NA
D10_81,20,Predator,Acute,B1,0.67,11
D10_81,20,Predator,Acute,B2,0.67,14
D10_81,20,Control,Acclim,B0,1,NA
D10_81,20,Control,Acclim,B1,1,10
D10_81,20,Control,Acclim,B2,0.67,4.5
D10_81,20,Control,Acclim,B3,0,NA
D10_81,20,Predator,Acclim,B0,1,NA
D10_81,20,Predator,Acclim,B1,1,11.33
D10_81,20,Predator,Acclim,B2,0.67,7
D10_81,20,Predator,Acclim,B3,0,NA
D10_81,24,Control,Acute,B0,1,NA
D10_81,24,Control,Acute,B1,1,6
D10_81,24,Control,Acute,B2,1,11.33
D10_81,24,Predator,Acute,B0,1,NA
D10_81,24,Predator,Acute,B1,1,8.67
D10_81,24,Predator,Acute,B2,1,15
D10_81,24,Control,Acclim,B0,1,NA
D10_81,24,Control,Acclim,B1,1,9
D10_81,24,Control,Acclim,B2,0.33,8
D10_81,24,Control,Acclim,B3,0.33,8
D10_81,24,Predator,Acclim,B0,1,NA
D10_81,24,Predator,Acclim,B1,1,10
D10_81,24,Predator,Acclim,B2,1,13
D10_81,24,Predator,Acclim,B3,0.67,11
D10_81,28,Control,Acute,B0,1,NA
D10_81,28,Control,Acute,B1,0,NA
D10_81,28,Control,Acute,B2,0,NA
D10_81,28,Predator,Acute,B0,NA,NA
D10_81,28,Predator,Acute,B1,NA,NA
D10_81,28,Predator,Acute,B2,NA,NA
D10_81,28,Control,Acclim,B0,NA,NA
D10_81,28,Control,Acclim,B1,NA,NA
D10_81,28,Control,Acclim,B2,NA,NA
D10_81,28,Control,Acclim,B3,NA,NA
D10_81,28,Predator,Acclim,B0,NA,NA
D10_81,28,Predator,Acclim,B1,NA,NA
D10_81,28,Predator,Acclim,B2,NA,NA
D10_81,28,Predator,Acclim,B3,NA,NA
AD10_1,16,Control,Acute,B0,1,NA
AD10_1,16,Control,Acute,B1,1,2
AD10_1,16,Control,Acute,B2,1,13.67
AD10_1,16,Predator,Acute,B0,1,NA
AD10_1,16,Predator,Acute,B1,0.67,6.5
AD10_1,16,Predator,Acute,B2,0.33,11
AD10_1,16,Control,Acclim,B0,1,NA
AD10_1,16,Control,Acclim,B1,0.67,6.5
AD10_1,16,Control,Acclim,B2,0.33,6
AD10_1,16,Control,Acclim,B3,0.33,4
AD10_1,16,Predator,Acclim,B0,1,NA
AD10_1,16,Predator,Acclim,B1,0.67,14
AD10_1,16,Predator,Acclim,B2,0.33,2
AD10_1,16,Predator,Acclim,B3,0.33,2
AD10_1,20,Control,Acute,B0,1,NA
AD10_1,20,Control,Acute,B1,1,7.33
AD10_1,20,Control,Acute,B2,0.67,6
AD10_1,20,Predator,Acute,B0,1,NA
AD10_1,20,Predator,Acute,B1,1,6.67
AD10_1,20,Predator,Acute,B2,1,15.33
AD10_1,20,Control,Acclim,B0,1,NA
AD10_1,20,Control,Acclim,B1,0.67,8.5
AD10_1,20,Control,Acclim,B2,0.67,8.5
AD10_1,20,Control,Acclim,B3,0.33,6
AD10_1,20,Predator,Acclim,B0,1,NA
AD10_1,20,Predator,Acclim,B1,1,10
AD10_1,20,Predator,Acclim,B2,1,17.67
AD10_1,20,Predator,Acclim,B3,1,21
AD10_1,24,Control,Acute,B0,1,NA
